FileID,Category,Type,SubType,Exclamation Count,Quote Count,Dollar Sign Count,Percent Sign Count,Ampersand Count,Apostrophe Count,Open Parenthesis Count,Close Parenthesis Count,Star Symbol Count,Comma Count,Period Count,Colon Count,Semicolon Count,Question Mark Count,'Therefore' Count,Long Characters,Total Chars,Second Person Pronouns,Vocabulary Count,Lexical Diversity,Sentence Count,Char Avg Per Sentence,FPPN Count,'Me' count,PP count,'I' count,'it' count,Noun count,Verb count,'that' count,'which' count,ABL,ABN,ABX,AP,AP$,AP+AP,AT,BE,BED,BED*,BEDZ,BEDZ*,BEG,BEM,BEM*,BEN,BER,BER*,BEZ,BEZ*,CC,CD,CD$,CS,DO,DO*,DO+PPSS,DOD,DOD*,DOZ,DOZ*,DT,DT$,DT+BEZ,DT+MD,DTI,DTS,DTS+BEZ,DTX,EX,EX+BEZ,EX+HVD,EX+HVZ,EX+MD,FW-*,FW-AT,FW-AT+NN,FW-AT+NP,FW-BE,FW-BER,FW-BEZ,FW-CC,FW-CD,FW-CS,FW-DT,FW-DT+BEZ,FW-DTS,FW-HV,FW-IN,FW-IN+AT,FW-IN+NN,FW-IN+NP,FW-JJ,FW-JJR,FW-JJT,FW-NN,FW-NN$,FW-NNS,FW-NP,FW-NPS,FW-NR,FW-OD,FW-PN,FW-PP$,FW-PPL,FW-PPL+VBZ,FW-PPO,FW-PPO+IN,FW-PPS,FW-PPSS,FW-PPSS+HV,FW-QL,FW-RB,FW-RB+CC,FW-TO+VB,FW-UH,FW-VB,FW-VBD,FW-VBG,FW-VBN,FW-VBZ,FW-WDT,FW-WPO,FW-WPS,HV,HV*,HV+TO,HVD,HVD*,HVG,HVN,HVZ,HVZ*,IN,IN+IN,IN+PPO,JJ,JJ$,JJ+JJ,JJR,JJR+CS,JJS,JJT,MD,MD*,MD+HV,MD+PPSS,MD+TO,NN,NN$,NN+BEZ,NN+HVD,NN+HVZ,NN+IN,NN+MD,NN+NN,NNS,NNS$,NNS+MD,NP,NP$,NP+BEZ,NP+HVZ,NP+MD,NPS,NPS$,NR,NR$,NR+MD,NRS,OD,PN,PN$,PN+BEZ,PN+HVD,PN+HVZ,PN+MD,PP$,PP$$,PPL,PPLS,PPO,PPS,PPS+BEZ,PPS+HVD,PPS+HVZ,PPS+MD,PPSS,PPSS+BEM,PPSS+BER,PPSS+BEZ,PPSS+BEZ*,PPSS+HV,PPSS+HVD,PPSS+MD,PPSS+VB,QL,QLP,RB,RB$,RB+BEZ,RB+CS,RBR,RBR+CS,RBT,RN,RP,RP+IN,TO,TO+VB,UH,VB,VB+AT,VB+IN,VB+JJ,VB+PPO,VB+RP,VB+TO,VB+VB,VBD,VBG,VBG+TO,VBN,VBN+TO,VBZ,WDT,WDT+BER,WDT+BER+PP,WDT+BEZ,WDT+DO+PPS,WDT+DOD,WDT+HVZ,WP$,WPO,WPS,WPS+BEZ,WPS+HVD,WPS+HVZ,WPS+MD,WQL,WRB,WRB+BER,WRB+BEZ,WRB+DO,WRB+DOD,WRB+DOD*,WRB+DOZ,WRB+IN,WRB+MD
ca01,news,informative,press,0,0,0,0,0,0,3,3,0,87,88,2,0,0,0,535,10254,0,848,2.643868,98,104.632653,4,0,26,3,19,548,117,28,13,0,1,3,10,0,0,217,21,2,0,18,1,5,0,0,7,5,0,12,0,47,39,0,48,1,0,0,2,2,1,0,10,0,0,0,7,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,10,0,203,0,0,87,0,0,1,0,1,5,35,0,0,0,0,327,8,0,0,0,0,0,0,119,0,0,105,8,0,0,0,5,0,16,1,0,0,4,4,0,0,0,0,0,19,0,3,0,6,23,0,0,0,0,8,0,0,0,0,0,0,0,0,6,0,37,0,0,0,2,0,0,0,6,0,41,0,0,72,0,0,0,0,0,0,0,75,21,0,68,0,11,14,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0
ca02,news,informative,press,0,0,0,0,2,4,4,4,0,121,88,2,0,0,0,542,10259,3,908,2.507709,98,104.683673,2,0,38,2,15,569,108,11,11,0,3,1,24,0,0,191,13,3,0,15,0,1,0,0,2,5,0,11,0,41,46,0,34,1,0,0,1,0,0,0,6,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,6,0,255,0,0,91,0,0,2,0,2,1,39,2,0,0,0,311,6,0,0,0,0,0,0,142,1,0,170,5,0,0,0,1,0,8,0,0,0,2,1,0,0,0,0,0,13,0,0,0,8,22,0,0,0,0,7,1,1,0,0,0,0,0,0,3,0,34,0,0,0,3,0,1,0,7,0,34,0,0,73,0,0,0,0,0,0,0,57,37,0,49,0,7,12,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0
ca03,news,informative,press,0,0,0,0,0,2,4,4,0,81,89,1,0,2,0,547,10194,2,808,2.815594,112,91.017857,2,0,42,1,5,582,86,12,1,1,3,1,28,0,0,201,9,7,0,11,0,0,0,0,6,5,0,12,0,51,78,0,25,0,0,0,3,0,1,0,19,0,0,0,5,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,1,0,262,0,0,104,0,0,3,0,1,1,30,2,0,0,0,344,2,0,0,0,0,0,0,165,2,0,74,4,0,0,0,1,0,6,0,0,0,22,1,0,0,0,0,0,18,0,0,1,4,24,0,0,1,0,7,0,0,0,0,0,0,0,0,9,0,31,0,0,0,3,0,0,0,4,0,28,0,0,62,0,0,0,0,0,0,0,69,42,0,57,0,2,2,0,0,0,0,0,0,0,1,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0
ca04,news,informative,press,0,0,0,0,0,0,4,4,0,83,73,2,2,2,0,603,10713,0,895,2.477095,88,121.738636,0,0,29,0,13,498,122,33,4,1,3,1,16,0,0,216,12,5,0,13,0,3,0,0,16,1,0,14,0,57,16,0,64,0,0,0,2,1,1,0,20,1,0,0,11,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,7,0,0,1,23,0,242,0,0,124,0,0,14,0,1,1,25,0,0,0,0,287,2,0,0,0,0,0,0,105,1,0,88,4,0,0,0,4,0,2,0,0,0,3,1,0,0,0,0,0,19,0,2,1,4,24,0,0,0,0,4,0,0,0,0,0,0,0,0,22,0,60,0,0,0,2,0,0,0,10,0,36,0,0,62,0,0,0,0,0,0,0,29,26,0,68,0,12,5,0,0,0,0,0,0,0,1,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0
ca05,news,informative,press,0,0,0,0,0,0,0,0,0,70,84,1,0,0,0,531,9958,0,756,2.968254,84,118.547619,12,3,35,6,9,501,143,41,6,1,7,5,26,0,0,225,29,2,0,15,0,3,0,0,5,6,0,14,0,41,23,0,56,5,0,0,0,0,1,0,8,0,0,0,5,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,15,0,223,0,0,103,0,0,3,0,0,2,52,0,0,0,0,336,5,0,0,0,0,0,0,106,0,0,99,1,0,0,0,0,0,19,1,0,0,3,3,0,0,0,0,0,19,0,0,1,11,52,0,0,0,0,14,0,0,0,0,0,0,0,0,6,0,37,0,0,0,0,0,0,0,7,0,45,0,0,79,0,0,0,0,0,0,0,60,31,0,65,0,18,11,0,0,0,0,0,0,0,1,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0
ca06,news,informative,press,0,0,0,0,0,6,0,0,0,86,87,3,0,2,0,520,10127,3,835,2.71018,99,102.292929,13,1,41,8,10,512,120,18,2,1,3,1,16,0,0,214,12,2,0,12,0,1,1,0,1,5,0,28,0,53,26,0,31,0,0,0,4,0,0,0,12,0,0,0,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,1,0,6,0,256,0,0,92,0,0,1,0,0,2,28,2,0,0,0,342,3,0,0,0,0,0,0,92,1,0,141,5,0,0,0,5,1,10,0,0,0,1,2,0,0,0,0,0,24,0,0,0,9,39,0,0,1,0,20,1,3,0,0,0,0,5,0,3,0,28,0,0,0,1,0,1,0,5,0,33,0,0,65,0,0,0,0,0,0,0,63,39,0,44,0,10,7,0,0,0,0,0,0,1,0,9,0,0,0,0,0,6,0,0,0,0,0,0,0,0
ca07,news,informative,press,2,0,0,0,0,2,0,0,0,96,96,6,2,4,0,621,10691,1,894,2.53915,120,89.091667,2,1,34,5,8,509,147,17,4,1,5,0,21,0,0,220,12,3,0,12,0,0,0,0,5,14,0,30,0,52,33,0,34,1,1,0,0,1,0,0,18,0,0,0,8,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,1,0,11,0,252,0,0,96,0,0,3,0,0,1,25,0,0,0,0,276,8,0,0,0,0,0,0,121,0,0,139,6,0,0,0,4,0,13,1,0,0,2,3,0,0,0,0,0,20,0,1,0,5,18,1,0,0,0,10,1,0,0,0,0,0,0,0,6,0,32,0,0,0,0,0,0,0,8,0,38,0,0,66,0,0,0,0,0,0,0,37,33,0,54,0,20,6,0,0,0,0,0,0,0,0,14,0,0,0,0,0,5,0,0,0,0,0,0,0,0
ca08,news,informative,press,0,0,0,0,0,0,1,1,0,81,87,0,4,2,0,508,10036,0,826,2.6477,101,99.366337,1,0,38,0,22,481,168,15,7,0,4,0,19,0,0,231,24,2,0,4,0,2,0,0,7,9,0,25,0,46,59,0,37,0,0,0,3,0,3,1,18,0,0,0,12,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,1,10,0,236,0,0,109,0,0,0,0,0,0,59,0,0,0,0,288,7,0,0,0,0,0,0,116,0,0,83,1,0,0,0,0,0,3,0,0,0,4,4,0,0,0,0,0,15,0,1,1,7,28,0,0,0,0,10,0,0,0,0,0,0,0,0,16,1,59,0,0,0,2,0,0,0,14,0,40,0,0,99,0,0,0,0,0,0,0,9,36,0,47,0,13,8,0,0,0,0,0,0,0,0,12,0,0,0,0,0,6,0,0,0,0,0,0,0,0
ca09,news,informative,press,0,0,0,0,0,4,2,2,0,83,94,2,2,2,0,544,10213,1,891,2.507295,113,90.380531,5,0,37,2,8,600,79,18,12,0,0,3,18,0,0,251,6,3,0,28,0,0,1,0,8,1,0,10,0,48,39,0,25,2,0,0,1,0,1,0,5,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,7,0,256,0,0,65,0,0,3,0,2,1,19,2,0,0,0,340,6,0,0,0,0,0,0,144,1,0,134,5,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,14,0,0,0,4,16,0,0,0,0,9,0,0,0,0,0,1,0,0,5,0,37,0,0,0,1,0,0,0,5,0,23,0,0,45,0,0,0,0,0,0,0,76,37,0,61,0,8,12,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ca10,news,informative,press,0,0,0,0,0,2,5,5,0,111,85,4,6,0,0,508,10012,0,871,2.619977,106,94.45283,17,0,40,1,12,474,145,21,7,0,4,1,13,0,0,180,15,7,0,10,0,0,0,0,11,7,0,19,0,45,51,0,38,1,0,0,0,0,0,0,11,0,0,0,9,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,6,0,0,0,11,0,219,0,0,91,0,0,3,0,0,1,34,1,0,0,0,270,5,0,0,0,0,0,0,119,1,0,160,4,0,0,0,4,0,21,0,0,0,8,5,0,0,0,0,0,28,1,0,3,6,31,0,0,0,0,23,0,0,0,0,0,0,0,0,11,0,36,0,0,0,0,0,0,0,5,0,48,0,0,84,0,0,0,0,0,0,0,61,40,0,53,0,9,11,0,0,0,0,0,0,1,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0
